GeneID,Genesymbol,Description,Scientific_name,Common_name,RefSeq_Transcript_accessions,RefSeq_Protein_accessions,SPARCLE_ID,Curation_Status
6469,SHH,sonic hedgehog signaling molecule,Homo sapiens,human,NM_000193.4,NP_000184.1,12014168,curated
20423,Shh,sonic hedgehog,Mus musculus,house mouse,NM_009170.3,NP_033196.1,12014168,curated
29499,Shh,sonic hedgehog signaling molecule,Rattus norvegicus,Norway rat,NM_017221.1,NP_058917.1,12014168,curated
30269,shha,sonic hedgehog signaling molecule a,Danio rerio,zebrafish,NM_131063.3,NP_571138.1,12014168,curated
286821,SHH,sonic hedgehog signaling molecule,Bos taurus,cattle,XM_024991301.1,XP_024847069.1,12014168,model
395615,SHH,sonic hedgehog,Gallus gallus,chicken,NM_204821.1,NP_990152.1,12014168,curated
446055,shha,sonic hedgehog signaling molecule a,Takifugu rubripes,torafugu,XM_003968034.3,XP_003968083.1,12014168,model
608860,SHH,sonic hedgehog signaling molecule,Canis lupus familiaris,dog,XM_845357.5,XP_850450.1,12014168,model
716553,SHH,sonic hedgehog signaling molecule,Macaca mulatta,Rhesus monkey,XM_001106515.4,XP_001106515.2,12014168,model
743371,SHH,sonic hedgehog signaling molecule,Pan troglodytes,chimpanzee,XM_001147185.5,XP_001147185.2,12014168,model
100016531,SHH,sonic hedgehog signaling molecule,Monodelphis domestica,gray short-tailed opossum,NM_001198553.1,NP_001185482.1,12014168,curated
100049186,shha,sonic hedgehog signaling molecule a,Oryzias latipes,Japanese medaka,XM_004081111.4,XP_004081159.1,12014168,model
100081692,SHH,sonic hedgehog signaling molecule,Ornithorhynchus anatinus,platypus,XM_029077267.2,XP_028933100.1,12014168,model
100147450,SHH,sonic hedgehog signaling molecule,Equus caballus,horse,XM_023640069.1,XP_023495837.1,12014168,model
100222391,SHH,sonic hedgehog signaling molecule,Taeniopygia guttata,zebra finch,XM_002190708.5,XP_002190744.2,,model
100352774,SHH,sonic hedgehog signaling molecule,Oryctolagus cuniculus,rabbit,XM_002715022.3,XP_002715068.1,12014168,model
100395600,SHH,sonic hedgehog signaling molecule,Callithrix jacchus,white-tufted-ear marmoset,XM_035254275.1,XP_035110166.1,,model
100461003,SHH,sonic hedgehog signaling molecule,Pongo abelii,Sumatran orangutan,XM_002818721.2,XP_002818767.2,12014168,model
100481788,SHH,sonic hedgehog signaling molecule,Ailuropoda melanoleuca,giant panda,XM_034650041.1,XP_034505932.1,,model
100487601,shh,sonic hedgehog,Xenopus tropicalis,tropical clawed frog,XM_031903906.1,XP_031759766.1,,model
100512749,SHH,sonic hedgehog signaling molecule,Sus scrofa,pig,NM_001244513.1,NP_001231442.1,12014168,curated
100546709,SHH,sonic hedgehog signaling molecule,Meleagris gallopavo,turkey,XM_010712419.3,XP_010710721.1,12014168,model
